Make,Model,Survival.Index,Damage.Index,Frequency.Score,Risk.Score,Total_Persons
PIPER,PA 24-260,0.25,0.85,0.0001079788669931742,0.5550323936600979,14.0
PIPER,PA 25-235,0.46153846153846156,0.7307692307692307,0.000350931317727816,0.4347206640107029,13.0
PIPER,PA 28,0.6818181818181818,0.7,0.0005938837684624581,0.337450892403266,45.0
PIPER,PA 28-140,0.4482758620689655,0.7310344827586207,0.0007828467857005128,0.4402348540357101,49.0
PIPER,PA 28-150,1.0,0.7,5.39894334965871e-05,0.21001619683004896,6.0
PIPER,PA 28-161,0.8,0.7,0.00040492075122440323,0.2901214762253673,31.0
PIPER,PA 28-180,0.5416666666666666,0.73,0.0008098415024488065,0.402576285784068,63.0
PIPER,PA 28-181,0.5681818181818182,0.7181818181818181,0.0007488174931938492,0.3884064634297763,46.0
PIPER,PA 28-235,0.42857142857142855,0.6857142857142857,0.00018896301723805484,0.4343424031908857,13.0
PIPER,PA 28-236,0.5,0.7,0.00013497358374146774,0.4100404920751225,11.0
PIPER,PA 28R,1.0,0.7,0.00013497358374146774,0.21004049207512243,10.0
PIPER,PA 28R-180,0.3,0.82,0.00013497358374146774,0.5260404920751224,10.0
PIPER,PA 28R-200,0.5512820512820512,0.723076923076923,0.000350931317727816,0.39651553580557475,32.0
PIPER,PA 28R-201,0.7083333333333334,0.7374999999999999,0.0002159577339863484,0.3379814539868626,19.0
PIPER,PA 28R-201T,0.5,0.7999999999999999,0.00016196830048976127,0.44004859049014694,18.0
PIPER,PA 30,0.4333333333333333,0.76,0.0002699471674829355,0.45474765081691154,21.0
PIPER,PA 31,0.5,0.7749999999999999,0.0001079788669931742,0.432532393660098,20.0
PIPER,PA 31-350,0.9,0.7,0.00013497358374146774,0.2500404920751224,14.0
PIPER,PA 31P,0.5,0.85,0.0001079788669931742,0.45503239366009796,18.0
PIPER,PA 31T,0.5,0.85,5.39894334965871e-05,0.4550161968300489,6.0
PIPER,PA 32,0.5,0.85,0.0001079788669931742,0.45503239366009796,10.0
PIPER,PA 32-260,0.875,0.7,0.0001079788669931742,0.26003239366009795,10.0
PIPER,PA 32-300,0.7272727272727273,0.7272727272727273,0.00029694188423122904,0.3273618098379967,23.0
PIPER,PA 32R,0.75,0.7,0.0001079788669931742,0.31003239366009794,8.0
PIPER,PA 32R-300,0.3611111111111111,0.7888888888888889,0.0002429524507346419,0.4922951079574426,26.0
PIPER,PA 32R-301,0.3333333333333333,0.7333333333333334,0.00023591787497627176,0.48673744202915953,6.0
PIPER,PA 32R-301T,0.5,0.6999999999999998,8.098415024488063e-05,0.41002429524507344,5.0
PIPER,PA 32RT-300T,0.6666666666666666,0.7999999999999999,8.098415024488063e-05,0.37335762857840676,10.0
PIPER,PA 34,1.0,0.6199999999999999,0.00013497358374146774,0.18604049207512244,12.0
PIPER,PA 34-200,0.375,0.7749999999999999,0.0001079788669931742,0.482532393660098,10.0
PIPER,PA 34-220T,0.65,0.7,0.00013497358374146774,0.35004049207512244,18.0
